date,ID.x,tank,Species,TA,water_mass,TA_initial,mean.blanks,ID.y,pH_treatment,temp_treatment,volume,wet_weight,TA.start,TA.stop,block,deltaTA,timediff,umol.cm2.hr
20241220,T11_MShell,11,Mussel,1997.879104,59.8399,1986.3323926666667,NA,NA,7.5,22,0.646,6.622,2025-11-14T14:35:00Z,2025-11-14T15:47:00Z,S27,-11.546711333333405,1.2,-3.1856895455694643
20241220,T11_NShell,11,Nucella,2063.428152,59.9393,1986.3323926666667,NA,NA,7.5,22,0.1155,0.6807,2025-11-14T14:35:00Z,2025-11-14T15:47:00Z,S27,-77.09575933333326,1.2,-3.80298925336458
20241220,T12_MShell,12,Mussel,1977.041908,60.2119,1993.396873,NA,NA,7.4,22,0.646,11.4588,2025-11-14T14:35:00Z,2025-11-14T15:47:00Z,S27,16.354964999999993,1.2,4.512266697812498
20241220,T12_NShell,12,Nucella,1958.791675,59.7532,1993.396873,NA,NA,7.4,22,0.11575,0.715,2025-11-14T14:35:00Z,2025-11-14T15:47:00Z,S27,34.60519799999997,1.2,1.7107043584218737
20240814,T13_shell_M_18,13,Mussel,2003.822641,60.3646,1975.6245826666666,NA,Shell,8,18,0.648,3.4969,2025-11-14T16:00:00Z,2025-11-14T17:10:00Z,S25,-28.198058333333393,1.1666666666666667,-8.026778719285732
20240814,T13_shell_N_18,13,Nucella,1979.276569,60.4941,1975.6245826666666,NA,Shell,8,18,0.11570000000000001,0.5917,2025-11-14T16:00:00Z,2025-11-14T17:10:00Z,S25,-3.651986333333525,1.1666666666666667,-0.18561350967250972
20241217,T14_MShell,14,Mussel,1991.404883,60.2642,1992.4665223333334,NA,NA,7.2,22,0.645,12.0784,2025-11-14T14:35:00Z,2025-11-14T15:47:00Z,S27,1.06163933333346,1.2,0.2924484601042015
20241217,T14_NShell,14,Nucella,1955.538449,59.8174,1992.4665223333334,NA,NA,7.2,22,0.1158,0.4744,2025-11-14T14:35:00Z,2025-11-14T15:47:00Z,S27,36.92807333333349,1.2,1.8263240267916745
20241217,T15_MShell,15,Mussel,1971.634325,59.9713,1936.901077,NA,NA,7.7,22,0.646,10.0893,2025-11-14T16:25:00Z,2025-11-14T17:35:00Z,S26,-34.733248,1.1666666666666667,-9.856551498514285
20241217,T15_NShell,15,Nucella,1994.795073,60.0788,1936.901077,NA,NA,7.7,22,0.1156,0.5076,2025-11-14T16:25:00Z,2025-11-14T17:35:00Z,S26,-57.893996000000016,1.1666666666666667,-2.9399398225885713
20241219,T17_MShell,17,Mussel,1950.12823,59.9872,1933.6213483333333,NA,NA,7.9,22,0.645,7.8621,2025-11-14T16:25:00Z,2025-11-14T17:35:00Z,S26,-16.506881666666686,1.1666666666666667,-4.6770480608035765
20241219,T17_NShell,17,Nucella,1904.557356,60.2964,1933.6213483333333,NA,NA,7.9,22,0.11570000000000001,0.6624,2025-11-14T16:25:00Z,2025-11-14T17:35:00Z,S26,29.063992333333317,1.1666666666666667,1.4771877903389277
20241219,T18_MShell,18,Mussel,2020.637962,60.0578,1936.0195076666666,NA,NA,7.3,22,0.644,16.5651,2025-11-14T16:25:00Z,2025-11-14T17:35:00Z,S26,-84.61845433333337,1.1666666666666667,-23.938560730900008
20241219,T18_NShell,18,Nucella,1965.304931,60.156,1936.0195076666666,NA,NA,7.3,22,0.11570000000000001,0.6382,2025-11-14T16:25:00Z,2025-11-14T17:35:00Z,S26,-29.285423333333256,1.1666666666666667,-1.4884420999964245
20241220,T19_MShell,19,Mussel,1962.577274,59.8376,1928.7653883333332,NA,NA,8,22,0.6475,8.2222,2025-11-14T16:25:00Z,2025-11-14T17:35:00Z,S26,-33.81188566666674,1.1666666666666667,-9.617368229312518
20241220,T19_NShell,19,Nucella,1961.856154,59.8277,1928.7653883333332,NA,NA,8,22,0.1156,0.6312,2025-11-14T16:25:00Z,2025-11-14T17:35:00Z,S26,-33.09076566666681,1.1666666666666667,-1.6803963530757215
